car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  62.50%,  50.00%,  93.75%,  81.25%
3  ,  80.00%,  60.00%, 100.00%,  80.00%
4  ,  58.33%,  58.33%,  75.00%,  66.67%
6  ,  45.45%,  63.64%, 100.00%,  81.82%
7  ,  46.67%,  40.00%,  80.00%,  60.00%
12 ,  61.54%,  61.54%,  76.92%,  69.23%
14 ,  53.33%,  53.33%,  66.67%,  60.00%
15 ,  44.44%,  44.44%,  88.89%,  33.33%
17 ,  40.00%,  30.00%,  80.00%,  60.00%
18 ,  44.44%,  55.56%,  77.78%,  66.67%
19 ,  64.29%,  57.14%, 100.00%,  35.71%
20 ,  69.23%,  53.85%,  92.31%,  61.54%
21 ,  53.33%,  40.00%,  80.00%,  73.33%
22 ,  66.67%,  58.33%,  91.67%,  91.67%
23 ,  64.29%,  57.14%,  85.71%,  92.86%
24 ,  16.67%,  41.67%,  83.33%,  41.67%
25 ,  66.67%,  25.00%,  83.33%,  83.33%
26 ,  41.18%,  58.82%,  88.24%,  52.94%
27 ,  30.00%,  50.00%,  80.00%,  70.00%
28 ,  60.00%,  40.00%,  80.00%,  70.00%
29 ,  60.00%,  60.00%,  90.00%,  90.00%
59 ,  55.56%,  44.44%, 100.00%,  77.78%
60 ,  50.00%,  70.00%, 100.00%,  70.00%
64 ,  40.00%,  40.00%,  80.00%,  60.00%
66 ,  50.00%,  30.00%,  60.00%,  60.00%
88 ,  63.64%,  45.45%,  81.82%,  72.73%
98 ,  43.75%,  37.50%,  75.00%,  50.00%
