car, Numenta HTM, Random Cut Forest, Bayesian Changepoint, EXPoSE
1  ,  75.00%,  50.00%,  93.75%,  81.25%
3  ,  80.00%,  60.00%, 100.00%,  90.00%
4  ,  58.33%,  58.33%,  75.00%,  66.67%
6  ,  72.73%,  63.64%, 100.00%,  81.82%
7  ,  66.67%,  40.00%,  80.00%,  73.33%
12 ,  84.62%,  61.54%,  76.92%,  76.92%
14 ,  66.67%,  60.00%,  66.67%,  60.00%
15 ,  66.67%,  44.44%,  88.89%,  33.33%
17 ,  70.00%,  40.00%,  80.00%,  70.00%
18 ,  55.56%,  55.56%,  77.78%,  77.78%
19 ,  78.57%,  57.14%, 100.00%,  57.14%
20 ,  69.23%,  53.85%, 100.00%,  61.54%
21 ,  66.67%,  40.00%,  80.00%,  73.33%
22 ,  83.33%,  58.33%,  91.67%,  91.67%
23 ,  64.29%,  64.29%,  85.71%,  92.86%
24 ,  41.67%,  41.67%,  83.33%,  50.00%
25 ,  83.33%,  25.00%,  83.33%,  91.67%
26 ,  52.94%,  58.82%,  88.24%,  64.71%
27 ,  50.00%,  50.00%,  80.00%,  80.00%
28 ,  60.00%,  40.00%,  80.00%,  80.00%
29 ,  60.00%,  60.00%,  90.00%,  90.00%
59 ,  66.67%,  55.56%, 100.00%,  88.89%
60 ,  50.00%,  80.00%, 100.00%,  80.00%
64 ,  70.00%,  40.00%,  80.00%,  70.00%
66 ,  60.00%,  30.00%,  70.00%,  60.00%
88 ,  72.73%,  45.45%,  81.82%,  81.82%
98 ,  56.25%,  37.50%,  75.00%,  75.00%
